,description,disease,is_original
0,chells,Malaria,False
1,chills,Malaria,True
2,baridmidi kali,Malaria,False
3,baridi kali,Malaria,True
4,viting,Malaria,False
5,vomyting,Malaria,False
6,vomeeting,Malaria,False
7,voumiting,Malaria,False
8,vomiting,Malaria,True
9,ving,Malaria,False
10,kutapyka,Malaria,False
11,kutapika,Malaria,True
12,kutaphika,Malaria,False
13,high faver,Malaria,False
14,higaigh fever,Malaria,False
15,high fever,Malaria,True
16,high feber,Malaria,False
17,homaoma kali,Malaria,False
18,homa kalhli,Malaria,False
19,homa kali,Malaria,True
20,sweating,Malaria,True
21,sweeting,Malaria,False
22,kutokwa jasho,Malaria,True
23,ktokwa jasho,Malaria,False
24,headache,Malaria,True
25,headashe,Malaria,False
26,heaache,Malaria,False
27,maumivu ya kichwa,Malaria,True
28,maumivu y kichwa,Malaria,False
29,maumivu ya chchwa,Malaria,False
30,maumaivu ya kichwa,Malaria,False
31,mbaumivu ya kichwa,Malaria,False
32,nausea,Malaria,True
33,kichephuchefu,Malaria,False
34,kichefuchefu,Malaria,True
35,kichefucnichefuchefu,Malaria,False
36,muscle painin,Malaria,False
37,muscle pain,Malaria,True
38,muscle painiain,Malaria,False
39,muscle painy,Malaria,False
40,muscle pein,Malaria,False
41,mavu ya misuli,Malaria,False
42,maumuivu ya misuli,Malaria,False
43,maumivu ya mili,Malaria,False
44,maaumivu ya misuli,Malaria,False
45,maumivmaumivu ya misuli,Malaria,False
46,maumivu ya misuli,Malaria,True
47,maumevu ya misuli,Malaria,False
48,chells,Malaria,False
49,chills,Malaria,True
50,baridi kami,Malaria,False
51,baridi ali,Malaria,False
52,bidi kalee,Malaria,False
53,baridi kalli,Malaria,False
54,baridi kali,Malaria,True
55,bomiting,Malaria,False
56,vomitinyg,Malaria,False
57,voong,Malaria,False
58,vomiting,Malaria,True
59,vamiting,Malaria,False
60,kutapika,Malaria,True
61,kuutapika,Malaria,False
62,high feor,Malaria,False
63,high fever,Malaria,True
64,hooma kali,Malaria,False
65,homa kalni,Malaria,False
66,homa kali,Malaria,True
67,homa kaly,Malaria,False
68,sweatinyg,Malaria,False
69,s,Malaria,False
70,sweating,Malaria,True
71,sweatinating,Malaria,False
72,kutokwa jasho,Malaria,True
73,kwa jasho,Malaria,False
74,kukwa jasho,Malaria,False
75,kutokukwa jasho,Malaria,False
76,kwtokwa jasho,Malaria,False
77,headache,Malaria,True
78,heaache,Malaria,False
79,headace,Malaria,False
80,maummu ya kichwa,Malaria,False
81,maumivu ya kichwa,Malaria,True
82,maumivu ya chchwa,Malaria,False
83,maumivu ya cichwa,Malaria,False
84,maumyvu ya kichwa,Malaria,False
85,nausea,Malaria,True
86,naausea,Malaria,False
87,kichiefuchefu,Malaria,False
88,kichafuchefu,Malaria,False
89,kishefuchefu,Malaria,False
90,kichefuchefu,Malaria,True
91,kicefuchefu,Malaria,False
92,kichephuchefu,Malaria,False
93,diarrhoea,Malaria,True
94,kuuharisha,Malaria,False
95,kuharisha,Malaria,True
96,muscle bain,Malaria,False
97,muscle pain,Malaria,True
98,muscle painy,Malaria,False
99,muscli pain,Malaria,False
100,maumivu ya misuli,Malaria,True
101,mauvu ya misuli,Malaria,False
102,chills,Malaria,True
103,shills,Malaria,False
104,cills,Malaria,False
105,boaridi kali,Malaria,False
106,baridi kamli,Malaria,False
107,barii kali,Malaria,False
108,baridi kaiali,Malaria,False
109,baridi kali,Malaria,True
110,vometing,Malaria,False
111,vomyting,Malaria,False
112,vomiting,Malaria,True
113,chutapika,Malaria,False
114,kutapikka,Malaria,False
115,kutepika,Malaria,False
116,kuutapika,Malaria,False
117,kutapikhpika,Malaria,False
118,kutapika,Malaria,True
119,h phever,Malaria,False
120,high fever,Malaria,True
121,high fer,Malaria,False
122,hoema kali,Malaria,False
123,hoa kali,Malaria,False
124,homa kali,Malaria,True
125,sweating,Malaria,True
126,sweatin,Malaria,False
127,sweathing,Malaria,False
128,sweeting,Malaria,False
129,sweateng,Malaria,False
130,kutokwa jasho,Malaria,True
131,kutokwa jacho,Malaria,False
132,kutokw jasho,Malaria,False
133,utokwa jasho,Malaria,False
134,kuookwa jasho,Malaria,False
135,headache,Malaria,True
136,headashe,Malaria,False
137,maumivu ya keechwa,Malaria,False
138,maumivu ya kichwa,Malaria,True
139,maumibu ya kichwa,Malaria,False
140,nausea,Malaria,True
141,naus,Malaria,False
142,cchefuchefu,Malaria,False
143,kichefucheofu,Malaria,False
144,kichefuchefu,Malaria,True
145,chchefuchefu,Malaria,False
146,keechefuchefu,Malaria,False
147,diarrhoea,Malaria,True
148,diarrhooea,Malaria,False
149,diarra,Malaria,False
150,kuherisha,Malaria,False
151,kuharisha,Malaria,True
152,kuharimarisha,Malaria,False
153,muscmscle pain,Malaria,False
154,muscle pain,Malaria,True
155,mwscle pain,Malaria,False
156,muuscle pain,Malaria,False
157,maumibu ya misuli,Malaria,False
158,maumivu ya misuli,Malaria,True
159,maumivu ya nisuli,Malaria,False
160,vomiting,Malaria,True
161,kuta,Malaria,False
162,kutapia,Malaria,False
163,kutapika,Malaria,True
164,utapika,Malaria,False
165,high fever,Malaria,True
166,high feber,Malaria,False
167,homa koli,Malaria,False
168,homa kali,Malaria,True
169,sweatinyg,Malaria,False
170,sweateeng,Malaria,False
171,sweating,Malaria,True
172,sweatin,Malaria,False
173,kutokwa jasho,Malaria,True
174,knokwa jasho,Malaria,False
175,kutokwa jacho,Malaria,False
176,headache,Malaria,True
177,he,Malaria,False
178,headace,Malaria,False
179,naumivu ya kichw,Malaria,False
180,maumiumivu ya kichwa,Malaria,False
181,maumivu ya kichwa,Malaria,True
182,maumivu ya kichwmchwa,Malaria,False
183,maumyvu ya kichwwa,Malaria,False
184,nauo,Malaria,False
185,nausea,Malaria,True
186,ausea,Malaria,False
187,kichefuchefu,Malaria,True
188,keechefuchefu,Malaria,False
189,diarrhoea,Malaria,True
190,diarrhooea,Malaria,False
191,diarrh,Malaria,False
192,kuhariseisha,Malaria,False
193,kuhaarisha,Malaria,False
194,kuharisha,Malaria,True
195,musclie pain,Malaria,False
196,muscle pin,Malaria,False
197,muscle paim,Malaria,False
198,muscle pain,Malaria,True
199,muscle paiin,Malaria,False
200,maumivu ya misooli,Malaria,False
201,maumivu ya misuli,Malaria,True
202,maumivu ya mesuli,Malaria,False
203,chills,Malaria,True
204,baridi kali,Malaria,True
205,varidi kali,Malaria,False
206,high fenever,Malaria,False
207,high fever,Malaria,True
208,hama kali,Malaria,False
209,homa khali,Malaria,False
210,homa kali,Malaria,True
211,homa kaly,Malaria,False
212,sweaating,Malaria,False
213,sweating,Malaria,True
214,sweatinaing,Malaria,False
215,kutokwa jasho,Malaria,True
216,kuokwa jho,Malaria,False
217,kumkwa jasho,Malaria,False
218,kutokwa jhho,Malaria,False
219,headache,Malaria,True
220,heiadache,Malaria,False
221,heaadache,Malaria,False
222,headamdache,Malaria,False
223,maumivu ya keechwa,Malaria,False
224,maumivu ya kichwa,Malaria,True
225,maumivu ya kichehwa,Malaria,False
226,mumivu ya kichwa,Malaria,False
227,maumivu yaa kichwa,Malaria,False
228,nausea,Malaria,True
229,kichefuchefu,Malaria,True
230,kichifuchefu,Malaria,False
231,kichefwchefu,Malaria,False
232,diahrrhoea,Malaria,False
233,diarrhoea,Malaria,True
234,deearrhoea,Malaria,False
235,iarrhoea,Malaria,False
236,kuharishauharisha,Malaria,False
237,kuharisha,Malaria,True
238,muscla paain,Malaria,False
239,muscle pain,Malaria,True
240,muuscle pain,Malaria,False
241,muscle payn,Malaria,False
242,muscle paen,Malaria,False
243,maumiaumivu ya misuli,Malaria,False
244,maumivu ya misuhisuli,Malaria,False
245,manivu ya misooli,Malaria,False
246,maumivu ya misnisuli,Malaria,False
247,maumivu ya misuli,Malaria,True
248,maumivu y misuli,Malaria,False
249,chmhills,Malaria,False
250,cheells,Malaria,False
251,chills,Malaria,True
252,baridi kali,Malaria,True
253,baridi cali,Malaria,False
254,barii kali,Malaria,False
255,vombiting,Malaria,False
256,vomitink,Malaria,False
257,vomiting,Malaria,True
258,kutmtapika,Malaria,False
259,kutabika,Malaria,False
260,cutapika,Malaria,False
261,kuutapika,Malaria,False
262,ktapika,Malaria,False
263,kutapika,Malaria,True
264,sweatinng,Malaria,False
265,sweating,Malaria,True
266,sweaueating,Malaria,False
267,sweatingung,Malaria,False
268,sweatiating,Malaria,False
269,kutokwa jasho,Malaria,True
270,kwa jasho,Malaria,False
271,kootokwa jasho,Malaria,False
272,kwtokwa jasho,Malaria,False
273,kutoukwa jasho,Malaria,False
274,headache,Malaria,True
275,hiadache,Malaria,False
276,maui ya kichwa,Malaria,False
277,maumivu ya kychwa,Malaria,False
278,maumivu ya kichwa,Malaria,True
279,maumyvu ya kichwa,Malaria,False
280,nausea,Malaria,True
281,nawsea,Malaria,False
282,kichiefuchefu,Malaria,False
283,cchefuchefu,Malaria,False
284,kichefochefuchefu,Malaria,False
285,kichepuchefu,Malaria,False
286,kichefuchefu,Malaria,True
287,chchefuchefu,Malaria,False
288,diarrhoea,Malaria,True
289,deearrhoea,Malaria,False
290,diarreea,Malaria,False
291,uharisha,Malaria,False
292,kuharisha,Malaria,True
293,muscle pain,Malaria,True
294,mwscle pein,Malaria,False
295,mucle pain,Malaria,False
296,muschle paen,Malaria,False
297,mamivu ya misuli,Malaria,False
298,manu ya misuauli,Malaria,False
299,maumyvu ya misuli,Malaria,False
300,maumeevu ya miswli,Malaria,False
